metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.kinesis.put_records_latency.maximum,gauge,,,,"The time taken per PutRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_records_latency.p50,gauge,,,,"The time taken per PutRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_records_latency.p90,gauge,,,,"The time taken per PutRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_records_latency.p95,gauge,,,,"The time taken per PutRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_records_latency.p99,gauge,,,,"The time taken per PutRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_records_latency.p99.99,gauge,,,,"The time taken per PutRecords operation, measured over the specified time period.",,Kinesis,
aws.kinesis.put_records_records,count,,,,This metric is deprecated. Use PutRecords.SuccessfulRecords.,,Kinesis,
aws.kinesis.put_records_success,count,,,,"The number of PutRecords operations where at least one record succeeded, per Kinesis stream, measured over the specified time period.",,Kinesis,
aws.kinesis.put_records_total_records,count,,,,"The total number of records sent in a PutRecords operation per Kinesis data stream, measured over the specified time period.",,Kinesis,
aws.kinesis.put_records_successful_records,count,,,,"The number of successful records in a PutRecords operation per Kinesis data stream, measured over the specified time period.",,Kinesis,
aws.kinesis.put_records_failed_records,count,,,,"The number of records rejected due to internal failures in a PutRecords operation per Kinesis data stream, measured over the specified time period. Occasional internal failures are to be expected and should be retried.",,Kinesis,
aws.kinesis.put_records_throttled_records,count,,,,"The number of records rejected due to throttling in a PutRecords operation per Kinesis data stream, measured over the specified time period.",,Kinesis,
aws.kinesis.read_provisioned_throughput_exceeded,count,,,,The number of GetRecords calls throttled for the stream over the specified time period. The most commonly used statistic for this metric is Average.,,Kinesis,
aws.kinesis.subscribe_to_shard_event_bytes,gauge,,,,"The number of bytes received from the shard, measured over the specified time period. Minimum, Maximum, and Average statistics represent the bytes published in a single event for the specified time period.",,Kinesis,
aws.kinesis.subscribe_to_shard_event_millis_behind_latest,gauge,,,,The difference between the current time and when the last record of the SubscribeToShard event was written to the stream.,,Kinesis,
aws.kinesis.subscribe_to_shard_event_records,count,,,,"The number of records received from the shard, measured over the specified time period. Minimum, Maximum, and Average statistics represent the records in a single event for the specified time period.",,Kinesis,
aws.kinesis.subscribe_to_shard_event_success,count,,,,"Dimensions: StreamName, ConsumerName",,Kinesis,
aws.kinesis.write_provisioned_throughput_exceeded,count,,,,The number of records rejected due to throttling for the stream over the specified time period. This metric includes throttling from PutRecord and PutRecords operations. The most commonly used statistic for this metric is Average.,,Kinesis,
aws.kinesis.incoming_bytes,gauge,,,,"The number of bytes successfully put to the shard over the specified time period. This metric includes bytes from PutRecord and PutRecords operations. Minimum, Maximum, and Average statistics represent the bytes in a single put operation for the shard in the specified time period.",,Kinesis,
aws.kinesis.incoming_records,count,,,,"The number of records successfully put to the shard over the specified time period. This metric includes record counts from PutRecord and PutRecords operations. Minimum, Maximum, and Average statistics represent the records in a single put operation for the shard in the specified time period.",,Kinesis,
aws.kinesis.iterator_age_milliseconds,gauge,,,,"The age of the last record in all GetRecords calls made against a shard, measured over the specified time period. Age is the difference between the current time and when the last record of the GetRecords call was written to the stream. The Minimum and Maximum statistics can be used to track the progress of Kinesis consumer applications. A value of 0 (zero) indicates that the records being read are completely caught up with the stream.",,Kinesis,
aws.kinesis.outgoing_bytes,gauge,,,,"The number of bytes retrieved from the shard, measured over the specified time period. Minimum, Maximum, and Average statistics represent the bytes returned in a single GetRecords operation or published in a single SubscribeToShard event for the shard in the specified time period.",,Kinesis,
aws.kinesis.outgoing_records,count,,,,"The number of records retrieved from the shard, measured over the specified time period. Minimum, Maximum, and Average statistics represent the records returned in a single GetRecords operation or published in a single SubscribeToShard event for the shard in the specified time period.",,Kinesis,
aws.kinesis.read_provisioned_throughput_exceeded,count,,,,The number of GetRecords calls throttled for the shard over the specified time period. This exception count covers all dimensions of the following limits: 5 reads per shard per second or 2 MB per second per shard. The most commonly used statistic for this metric is Average.,,Kinesis,
aws.kinesis.write_provisioned_throughput_exceeded,count,,,,"The number of records rejected due to throttling for the shard over the specified time period. This metric includes throttling from PutRecord and PutRecords operations and covers all dimensions of the following limits: 1,000 records per second per shard or 1 MB per second per shard. The most commonly used statistic for this metric is Average.",,Kinesis,
