metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.vpc_error_port_allocation_avg,count,,,,A value greater than zero indicates that too many concurrent connections are open through the NAT gateway.,,vpc,
aws.vpc_idle_timeout_count_min,count,,,,"A value greater than zero indicates that there are connections that have been moved to an idle state. If the value for IdleTimeoutCount increases, it may indicate that clients behind the NAT gateway are re-using stale connections.",,vpc,
aws.vpc_idle_timeout_count_max,count,,,,"A value greater than zero indicates that there are connections that have been moved to an idle state. If the value for IdleTimeoutCount increases, it may indicate that clients behind the NAT gateway are re-using stale connections.",,vpc,
aws.vpc_idle_timeout_count_avg,count,,,,"A value greater than zero indicates that there are connections that have been moved to an idle state. If the value for IdleTimeoutCount increases, it may indicate that clients behind the NAT gateway are re-using stale connections.",,vpc,
aws.vpc_packets_drop_count_min,count,,,,"A value greater than zero may indicate an ongoing transient issue with the NAT gateway. If this value is high, see the AWS service health dashboard .",,vpc,
aws.vpc_packets_drop_count_max,count,,,,"A value greater than zero may indicate an ongoing transient issue with the NAT gateway. If this value is high, see the AWS service health dashboard .",,vpc,
aws.vpc_packets_drop_count_avg,count,,,,"A value greater than zero may indicate an ongoing transient issue with the NAT gateway. If this value is high, see the AWS service health dashboard .",,vpc,
aws.vpc_packets_in_from_destination_min,count,,,,"If the value for PacketsOutToSource is less than the value for PacketsInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_packets_in_from_destination_max,count,,,,"If the value for PacketsOutToSource is less than the value for PacketsInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_packets_in_from_destination_avg,count,,,,"If the value for PacketsOutToSource is less than the value for PacketsInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_packets_in_from_source_min,count,,,,"If the value for PacketsOutToDestination is less than the value for PacketsInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_packets_in_from_source_max,count,,,,"If the value for PacketsOutToDestination is less than the value for PacketsInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_packets_in_from_source_avg,count,,,,"If the value for PacketsOutToDestination is less than the value for PacketsInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_packets_out_to_destination_min,count,,,,"A value greater than zero indicates that there is traffic going to the internet from clients that are behind the NAT gateway. If the value for PacketsOutToDestination is less than the value for PacketsInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_packets_out_to_destination_max,count,,,,"A value greater than zero indicates that there is traffic going to the internet from clients that are behind the NAT gateway. If the value for PacketsOutToDestination is less than the value for PacketsInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_packets_out_to_destination_avg,count,,,,"A value greater than zero indicates that there is traffic going to the internet from clients that are behind the NAT gateway. If the value for PacketsOutToDestination is less than the value for PacketsInFromSource , there may be data loss during NAT gateway processing.",,vpc,
aws.vpc_packets_out_to_source_min,count,,,,"A value greater than zero indicates that there is traffic coming from the internet to clients that are behind the NAT gateway. If the value for PacketsOutToSource is less than the value for PacketsInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_packets_out_to_source_max,count,,,,"A value greater than zero indicates that there is traffic coming from the internet to clients that are behind the NAT gateway. If the value for PacketsOutToSource is less than the value for PacketsInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
aws.vpc_packets_out_to_source_avg,count,,,,"A value greater than zero indicates that there is traffic coming from the internet to clients that are behind the NAT gateway. If the value for PacketsOutToSource is less than the value for PacketsInFromDestination , there may be data loss during NAT gateway processing, or traffic being actively blocked by the NAT gateway.",,vpc,
